"name","office","state","district","incumbent","representative","reference_name","reference_url"
"Nathan Mathis","house","Alabama","2nd","","Martha Roby","""Sen. Richard Shelby will face Republican challengers""","http://www.montgomeryadvertiser.com/story/news/2015/11/07/sen-richard-shelby-face-republican-challengers/75318814"
"Jesse Smith","house","Alabama","3rd","","Mike Rogers","""Alabama primary 2016: Who qualified for the ballot?""","http://www.al.com/news/index.ssf/2015/11/alabama_primary_2016_who_quali.html"
"Will Boyd","house","Alabama","5th","","Mo Brooks","""Florence pastor announces candidacy for Congress""","http://www.al.com/news/huntsville/index.ssf/2015/07/florence_pastor_announces_cand.html"
"David Putman","house","Alabama","6th","","Gary Palmer","""Democrat David Putman challenging Gary Palmer for Congress""","http://www.al.com/news/index.ssf/2015/11/democrat_david_putman_challeng.html"
"Terri Sewell","house","Alabama","7th","","Terri Sewell","""Alabama primary 2016: Who qualified for the ballot?""","http://www.al.com/news/index.ssf/2015/11/alabama_primary_2016_who_quali.html"
"Steve Lindbeck","house","Alaska","at-large","","Don Young","""Steve Lindbeck announces run for Congress against Don Young""","http://www.adn.com/article/20160407/steve-lindbeck-announces-run-congress-against-don-young"
"Tom O'Halleran","house","Arizona","1st","","Ann Kirkpatrick","""Tom O'Halleran running for Congress as Democrat""","http://www.azcentral.com/story/news/arizona/politics/2015/08/04/tom-ohalleran-running-congress-democrat/31087643"
"Matt Heinz","house","Arizona","2nd","","Martha McSally","""Another Democrat Enters 2nd Congressional District Race""","https://www.azpm.org/p/crawler-stories/2015/7/28/68974-another-democrat-enters-2nd-congressional-district-race"
"Raúl Grijalva","house","Arizona","3rd","","Raúl Grijalva","""Grijalva raised $280K last year for re-election campaign""","http://tucson.com/news/local/govt-and-politics/elections/grijalva-raised-k-last-year-for-re-election-campaign/article_2564f04f-de55-503c-bf06-4f66ece0c9be.html"
"Mikel Weisser","house","Arizona","4th","","Paul Gosar","""Democrat Challenging Rep. Gosar""","http://www.paysonroundup.com/news/2016/jan/27/democrat-challenging-rep-gosar"
"Talia Fuentes","house","Arizona","5th","","Matt Salmon","""Against the odds: Democrat seeks seat in GOP stronghold""","http://www.azcentral.com/story/news/politics/elections/2016/05/11/against-odds-democrat-seeks-seat-gop-stronghold/83942174"
"W. John Williamson","house","Arizona","6th","","David Schweikert","""2016 Election Information""","http://apps.azsos.gov/election/2016/Candidates/PrimaryCandidates.htm"
"Ruben Gallego","house","Arizona","7th","","Ruben Gallego","""Ruben Gallego - Hope to see you there! RSVP here >>... | Facebook""","https://www.facebook.com/GallegoforArizona/photos/a.449057101869535.1073741825.161183970656851/845157528926155/?type=3&theater"
"Kyrsten Sinema","house","Arizona","9th","","Kyrsten Sinema","""Sinema Tells D.C. Democrats 'Not Yet' on Senate Bid""","http://atr.rollcall.com/sinema-tells-d-c-democrats-not-yet-senate-bid"
"Dianne Curry","house","Arkansas","2nd","","French Hill","""Curry Announces Bid For 2nd District Congressional Seat""","http://swtimes.com/news/politics/curry-announces-bid-2nd-district-congressional-seat"
"Jim Reed","house","California","1st","","Doug LaMalfa","""Democrat Jim Reed is back, eyes rematch against LaMalfa""","http://www.redding.com/news/local/democrat-jim-reed-is-back-eyes-rematch-against-lamalfa-2c9c51f5-d6f3-4ac5-e053-0100007f894b-370218971.html"
"Jared Huffman","house","California","2nd","","Jared Huffman","""With Senator Boxer's retirement, the Senate is...""","https://www.facebook.com/jared.huffman.9/posts/624061611032837"
"John Garamendi","house","California","3rd","","John Garamendi","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Bob Derlet","house","California","4th","","Tom McClintock","""Bob Derlet, doctor and environmentalist, challenging Rep. Tom McClintock""","http://www.sacbee.com/news/politics-government/capitol-alert/article61789327.html"
"Mike Thompson","house","California","5th","","Mike Thompson","""Thompson files for re-election""","http://napavalleyregister.com/news/local/thompson-files-for-re-election/article_25301606-34c7-5b00-af00-45257734584b.html"
"Doris Matsui","house","California","6th","","Doris Matsui","""California Playbook: HOUSE battles -- WESTLY 'full speed' on 2018 -- EL NINO looms""","http://www.politico.com/tipsheets/california-playbook/2015/11/politico-california-playbook-house-battles-westly-brushes-off-feminist-criticism-el-nino-looms-211267"
"Ami Bera","house","California","7th","","Ami Bera","""2016 Consent Calendar""","http://www.cadem.org/vote/body/2016-Consent-Calendar-1.pdf"
"Rita Ramirez","house","California","8th","","Paul Cook","""PRIMARY ELECTION: Five In Race For 8th Congressional District Seat""","http://rotwnews.com/2016/03/13/primary-election-five-in-race-for-8th-congressional-district-seat"
